d-d-t,r-r-t,decay-factor,Year,HumanAnnualDLCases,HumanAnnualDogSerovarInc/10K,prop-rc-dscases,HumanAnnualRLCases,HumanAnnualRodentSerovarInc/10K,prop-dc-rscases,DogAnnualDLCases,DogAnnualRLCases,RodentAnnualRLCases,RodentAnnualDLCases,averageannODN,averageannSDN,averageDN,averageannRN,iteration
0.01,0.0085,0.95,6,0,0,0.726,0,0,0.016,36,46,2296,197,119,51,170,1403,18
0.01,0.0085,0.95,5,0,0,0.47,2,27,0.01,38,34,2144,254,84,64,148,1480,1
0.01,0.0085,0.95,6,0,0,0.641,0,0,0.006,72,47,2925,200,47,113,160,1447,12
0.01,0.0085,0.95,3,0,0,0.791,0,0,0.014,42,46,2129,216,59,97,156,1430,30
0.01,0.0085,0.95,6,0,0,0.651,0,0,0.014,67,39,3806,209,57,117,174,1436,5
0.01,0.0085,0.95,4,0,0,0.723,0,0,0.014,48,60,2357,176,93,98,191,1471,29
0.01,0.0085,0.95,5,0,0,0.777,0,0,0.007,15,29,2453,235,94,62,156,1489,16
0.01,0.0085,0.95,5,0,0,0.654,0,0,0.017,73,50,2823,241,132,45,177,1388,7
0.01,0.0085,0.95,5,0,0,0.777,0,0,0.016,47,40,2983,238,102,67,169,1417,8
0.01,0.0085,0.95,6,0,0,0.847,0,0,0.01,15,31,3449,95,108,47,155,1464,26
0.01,0.0085,0.95,7,0,0,0.523,0,0,0.022,54,43,2363,185,130,46,176,1375,15
0.01,0.0085,0.95,3,0,0,0.732,0,0,0.018,61,77,3278,260,99,67,166,1461,31
0.01,0.0085,0.95,5,0,0,0.887,2,26,0.016,42,66,3135,220,44,131,175,1487,11
0.01,0.0085,0.95,7,0,0,0.577,0,0,0.009,77,30,2181,243,110,51,161,1401,18
0.01,0.0085,0.95,5,0,0,0.359,0,0,0.017,61,73,2308,155,97,94,191,1466,29
0.01,0.0085,0.95,6,1,13,0.333,0,0,0.015,58,44,3255,185,28,131,159,1416,2
0.01,0.0085,0.95,6,2,26,0.538,0,0,0.008,15,51,3025,80,110,56,166,1479,19
0.01,0.0085,0.95,6,0,0,0.427,0,0,0.011,41,42,3352,217,82,60,142,1458,25
0.01,0.0085,0.95,4,0,0,0.511,0,0,0.022,26,53,2460,100,67,88,155,1420,30
0.01,0.0085,0.95,6,0,0,0.748,0,0,0.019,60,46,2535,253,80,64,144,1418,20
0.01,0.0085,0.95,6,0,0,0.485,1,13,0.015,70,37,1910,236,72,106,178,1408,3
0.01,0.0085,0.95,3,6,80,0.807,0,0,0.011,23,65,2969,176,101,60,161,1435,32
0.01,0.0085,0.95,6,0,0,0.363,0,0,0.02,65,42,2205,168,71,79,150,1433,9
0.01,0.0085,0.95,7,0,0,0.664,0,0,0.014,71,28,2922,245,51,114,165,1442,12
0.01,0.0085,0.95,7,0,0,0.686,1,13,0.008,56,34,4053,158,60,115,175,1437,5
0.01,0.0085,0.95,6,0,0,0.52,4,53,0.002,56,40,2180,198,86,60,146,1472,1
0.01,0.0085,0.95,4,0,0,0.476,0,0,0.014,59,49,3470,239,90,73,163,1475,31
0.01,0.0085,0.95,6,0,0,0.575,0,0,0.015,49,39,2511,142,99,91,190,1473,29
0.01,0.0085,0.95,3,0,0,0.646,0,0,0.024,67,59,1984,364,98,74,172,1401,33
0.01,0.0085,0.95,3,0,0,0.929,0,0,0.019,21,43,1740,160,79,69,148,1406,34
0.01,0.0085,0.95,3,0,0,0.511,0,0,0.019,60,51,2958,147,111,61,172,1465,36
0.01,0.0085,0.95,5,0,0,0.579,0,0,0.02,39,46,2443,75,76,78,154,1417,30
0.01,0.0085,0.95,3,0,0,0.642,0,0,0.013,35,64,2032,104,99,61,160,1411,35
0.01,0.0085,0.95,7,0,0,0.438,0,0,0.014,31,47,3797,74,111,42,153,1451,26
0.01,0.0085,0.95,4,17,227,0.767,0,0,0.009,62,27,3404,168,101,63,164,1422,32
0.01,0.0085,0.95,6,0,0,0.63,0,0,0.011,69,30,2816,241,131,47,178,1386,7
0.01,0.0085,0.95,6,0,0,0.704,0,0,0.024,45,40,2478,142,91,63,154,1488,16
0.01,0.0085,0.95,3,0,0,0.533,0,0,0.019,34,64,1961,198,106,66,172,1379,38
0.01,0.0085,0.95,3,0,0,0.477,0,0,0.009,36,51,2580,130,112,51,163,1475,37
0.01,0.0085,0.95,7,0,0,0.505,0,0,0.016,77,49,2399,179,101,85,186,1477,29
0.01,0.0085,0.95,6,0,0,0.581,0,0,0.008,85,36,2865,211,112,63,175,1439,8
0.01,0.0085,0.95,7,0,0,0.816,0,0,0.011,53,53,3377,148,72,74,146,1461,25
0.01,0.0085,0.95,5,0,0,0.669,0,0,0.007,54,49,3354,182,77,75,152,1459,31
0.01,0.0085,0.95,7,1,13,0.678,0,0,0.013,23,51,2928,75,109,54,163,1473,19
0.01,0.0085,0.95,7,2,26,0.603,0,0,0.01,60,34,3000,147,21,135,156,1446,2
0.01,0.0085,0.95,7,0,0,0.715,0,0,0.011,45,50,2788,227,98,54,152,1416,20
0.01,0.0085,0.95,4,0,0,0.567,0,0,0.011,73,53,2486,309,102,60,162,1412,33
0.01,0.0085,0.95,6,0,0,0.763,3,39,0.02,45,53,2967,153,40,126,166,1444,11
0.01,0.0085,0.95,7,0,0,0.568,0,0,0.027,81,52,1837,284,67,114,181,1400,3
0.01,0.0085,0.95,4,0,0,0.605,0,0,0.018,36,38,1695,213,80,62,142,1404,34
0.01,0.0085,0.95,3,0,0,0.942,0,0,0.03,29,63,2827,266,125,67,192,1424,39
0.01,0.0085,0.95,4,0,0,0.572,0,0,0.013,45,54,3153,165,112,61,173,1463,36
0.01,0.0085,0.95,6,0,0,0.413,0,0,0.031,40,77,2636,149,74,81,155,1422,30
0.01,0.0085,0.95,7,0,0,0.608,0,0,0.011,63,50,2097,238,74,75,149,1436,9
